,pm,pm_pred
0,58.60322165707869,62.36754
1,58.58079360810376,62.468555
2,58.54230055432648,62.453903
3,58.53088391865843,62.37268
4,58.522235416571775,62.28136
5,58.5291853392885,62.26317
6,58.57295430224247,62.342495
7,58.53408800149176,62.40689
8,58.4847193686776,62.40434
9,58.437819981980994,62.38296
10,58.443800968332255,62.389763
11,58.47197714140506,62.404423
12,58.473064733310366,62.38478
13,58.47401762946447,62.337402
14,58.47399228267916,62.36431
15,58.46801028940749,62.43136
16,58.48822241160032,62.443363
17,58.489124105498206,62.39679
18,58.4681937348572,62.3539
19,58.46492937567459,62.39273
20,58.51832378686318,62.458614
21,58.51527845179876,62.504414
22,58.52280096862724,62.57324
23,58.49321156227003,62.656666
24,58.47344416618569,62.661263
25,58.47087955275225,62.546757
26,58.42697325731472,62.434753
27,58.37441619440327,62.42445
28,58.34113358837175,62.450745
29,58.3462511645098,62.440346
30,58.354840389429086,62.42969
31,58.36560272462992,62.396854
32,58.35242590612317,62.323395
33,58.38230346142012,62.27386
34,58.41319698273608,62.2412
35,58.38898008116588,62.207977
36,58.366209363600696,62.180843
37,58.36123660874961,62.09137
38,58.34516201866855,61.98219
39,58.37302195651473,61.907177
40,58.38940592095776,61.87678
41,58.38820270740893,61.85289
42,58.37238346556303,61.818245
43,58.39742477149526,61.800034
44,58.32509563206138,61.823566
45,58.2992253667462,61.878395
46,58.31518721083128,61.898678
47,58.27617898918123,61.828636
48,58.24161894237475,61.766705
49,58.24569029680301,61.77162
50,58.22264337069146,61.761204
51,58.24515006353582,61.718777
52,58.27877875342882,61.709637
53,58.29718466934128,61.717808
54,58.21747954120174,61.690945
55,58.21780177448079,61.643204
56,58.20342990609621,61.585506
57,58.22812870766071,61.563465
58,58.22546080759726,61.51306
59,58.22896766267174,61.37545
60,58.21798152574024,61.250557
61,58.183272817444205,61.132725
62,58.16768368869119,60.984325
63,58.171026826591536,60.793312
64,58.16529389931391,60.630344
65,58.16918278628852,60.53547
66,58.14531817665652,60.539913
67,58.15372206704584,60.57972
68,58.14128375996842,60.61951
69,58.11819734146989,60.6058
70,58.15330626618842,60.61084
71,58.14832255740909,60.687675
72,58.130339804831934,60.767124
73,58.122641142518106,60.794044
74,58.1372071369926,60.784344
75,58.14792290065822,60.788143
76,58.132275059904615,60.804905
77,58.129735901543256,60.717537
78,58.112181819688416,60.517975
79,58.08422867766681,60.339493
80,58.08861375912491,60.273434
81,58.039941053520685,60.322685
82,58.29461706163143,60.4109
83,58.19764104127253,60.403774
84,57.89275656108953,60.283634
85,58.03799744728231,60.08197
86,57.97823307335037,59.854134
87,58.02519188678327,59.726524
88,57.97499275124915,59.652657
89,58.07030493676447,59.590378
90,58.16583519868264,59.582733
91,58.34579137254592,59.604313
92,58.29146274569529,59.61122
93,58.6525613444796,59.544567
94,58.651309710608224,59.482487
95,58.524907078857,59.557358
96,57.59612197797141,59.73972
97,57.980030842725895,59.894966
98,58.19802377897618,59.98702
99,57.96444739899683,60.140316
100,58.07685399985692,60.39623
101,58.27192688110104,60.62773
102,58.7869911139978,60.752323
103,58.75081929108646,60.838337
104,58.89112711219735,60.894714
105,59.42660515824105,60.86905
106,59.25102291678317,60.90848
107,59.0392122754412,61.009556
108,59.15644888683654,61.06833
109,58.908027928571045,61.023174
110,59.540123523963125,60.925125
111,59.28189861200684,60.93596
112,58.927390932515664,60.995274
113,59.08819497306884,61.00394
114,58.478495341856814,60.91396
115,58.56833476882724,60.864254
116,58.56655362304196,60.879803
117,59.11994608876629,60.90552
118,59.23012460771477,60.897465
119,58.99289118397705,60.89719
120,58.89357127873569,60.850166
121,58.82421470193526,60.774216
122,58.87374980256358,60.743015
123,58.82261442051083,60.767048
124,59.10288036207189,60.81021
125,59.15978347805438,60.82703
126,59.2146390207295,60.804295
127,59.1911190025529,60.795547
128,59.01959785506533,60.752804
129,59.01388065155838,60.702866
130,58.85900769153679,60.717308
131,58.8353946418394,60.718082
132,58.74316304452091,60.75385
133,59.3534420280408,60.84904
134,59.495808801681925,60.859642
135,59.25164588220976,60.792706
136,59.65506488642873,60.727066
137,59.38571206570965,60.64369
138,59.3214104526767,60.617203
139,59.283077363460606,60.618435
140,59.13357400788896,60.5906
141,59.00060439206303,60.557835
142,58.55946915050316,60.515465
143,58.7744956865199,60.49214
144,58.89426984689106,60.5176
145,58.93856046342643,60.532043
146,58.92228081269501,60.513775
147,58.87788419543136,60.47119
148,58.83318705461609,60.455093
149,58.96449693227677,60.456245
150,58.90846180228134,60.41729
151,58.87015169918379,60.328857
152,58.85902088707972,60.205418
153,58.765255484642246,60.118813
